,Rep,V1,group
1,4018,63,top
2,5015,74,top
3,5035,63,top
4,6005,79,top
5,6007,78,top
6,6009,77,top
7,6010,78,top
8,6014,78,top
9,6017,78,top
10,6022,67,top
11,6031,78,top
12,6032,79,top
13,6033,79,top
14,6071,63,top
15,6073,77,top
16,6078,77,top
17,6079,76,top
18,6081,78,top
19,7007,78,top
20,7012,78,top
21,7019,77,top
22,7037,78,top
23,7039,77,top
24,7040,87,top
25,7052,77,top
26,7058,77,top
27,7080,78,top
28,7083,78,top
29,7088,67,top
30,7090,78,top
31,7109,78,top
32,7110,77,top
33,7113,79,top
34,7115,78,top
35,7123,76,top
36,7126,78,top
37,7138,78,top
38,7150,78,top
39,7166,79,top
40,7177,78,top
41,7178,78,top
42,7186,81,top
43,7189,78,top
44,7192,77,top
45,7194,78,top
46,7198,79,top
47,8007,78,top
48,8012,78,top
49,8019,77,top
50,8037,78,top
51,8039,77,top
52,8040,87,top
53,8052,77,top
54,8058,77,top
55,8080,78,top
56,8083,78,top
57,8088,67,top
58,8090,78,top
59,8109,78,top
60,8110,77,top
61,8113,79,top
62,8115,78,top
63,8123,76,top
64,8126,78,top
65,8138,78,top
66,8150,78,top
67,8166,79,top
68,8177,78,top
69,8178,78,top
70,8186,81,top
71,8189,78,top
72,8192,77,top
73,8194,78,top
74,8198,79,top
75,11002,76,top
76,11010,49,top
77,11015,50,top
78,11024,75,top
79,11027,49,top
80,11033,48,top
81,11034,55,top
82,11036,68,top
83,11048,75,top
84,11049,53,top
85,11061,51,top
86,11062,49,top
87,12003,69,top
88,12006,51,top
89,12008,45,top
90,12009,61,top
91,12012,77,top
92,12017,75,top
93,12024,66,top
94,12027,77,top
95,12040,74,top
96,12042,48,top
97,12050,62,top
98,12054,65,top
99,12058,50,top
100,12064,51,top
101,12073,75,top
102,12074,59,top
103,12086,74,top
104,12087,77,top
105,12089,49,top
106,12090,61,top
107,12100,66,top
108,13029,89,top
109,3,66,bottom
110,4,80,bottom
111,5,42,bottom
112,8,79,bottom
113,14,77,bottom
114,16,78,bottom
115,17,76,bottom
116,18,86,bottom
117,27,69,bottom
118,28,69,bottom
119,31,74,bottom
120,33,70,bottom
121,40,76,bottom
122,43,78,bottom
123,46,82,bottom
124,47,77,bottom
125,48,85,bottom
126,49,78,bottom
127,1001,79,bottom
128,1003,78,bottom
129,1004,78,bottom
130,1006,76,bottom
131,1007,78,bottom
132,1008,69,bottom
133,1010,78,bottom
134,2003,70,bottom
135,3002,77,bottom
136,3006,76,bottom
137,3007,77,bottom
138,3010,79,bottom
139,3011,78,bottom
140,3012,77,bottom
141,3014,66,bottom
142,3015,77,bottom
143,3019,78,bottom
144,3021,73,bottom
145,4002,74,bottom
146,4007,78,bottom
147,4009,40,bottom
148,4012,50,bottom
149,4025,75,bottom
150,4028,75,bottom
151,4045,64,bottom
152,5001,66,bottom
153,5018,75,bottom
154,6062,65,bottom
155,7013,31,bottom
156,7141,36,bottom
157,7143,35,bottom
158,7149,68,bottom
159,7190,75,bottom
160,7199,71,bottom
161,8013,31,bottom
162,8141,36,bottom
163,8143,35,bottom
164,8149,68,bottom
165,8190,75,bottom
166,8199,71,bottom
167,9002,66,bottom
168,9008,66,bottom
169,9010,66,bottom
170,9011,75,bottom
171,9017,76,bottom
172,9019,77,bottom
173,9026,77,bottom
174,10010,47,bottom
175,10012,53,bottom
176,10023,66,bottom
177,10031,77,bottom
178,10034,63,bottom
179,10036,67,bottom
180,11009,75,bottom
181,11013,67,bottom
182,12093,50,bottom
183,12094,64,bottom
184,13001,66,bottom
185,13002,51,bottom
186,13004,75,bottom
187,13006,66,bottom
188,13008,66,bottom
189,13010,75,bottom
190,13012,74,bottom
191,13013,65,bottom
192,13014,78,bottom
193,13015,76,bottom
194,13016,77,bottom
195,13018,76,bottom
196,13019,65,bottom
197,13021,44,bottom
198,13022,75,bottom
199,13023,57,bottom
200,13025,62,bottom
201,13026,74,bottom
202,13027,75,bottom
203,14001,22,bottom
204,14005,74,bottom
205,15034,73,bottom
206,15052,69,bottom
207,15072,61,bottom
208,15086,75,bottom
209,15090,61,bottom
210,15092,70,bottom
211,15097,78,bottom
212,15103,68,bottom
213,15108,64,bottom
214,15118,47,bottom
215,15121,70,bottom
