NHMUK_ID,sample_cm,d15N, d13C,species
ZD.1892.3.1.1,1,9.75,-17.94,Balaenoptera_musculus
ZD.1892.3.1.1,2,9.24,-18.23,Balaenoptera_musculus
ZD.1892.3.1.1,3,10.14,-18.8,Balaenoptera_musculus
ZD.1892.3.1.1,4,10.09,-18.93,Balaenoptera_musculus
ZD.1892.3.1.1,5,9.9,-18.87,Balaenoptera_musculus
ZD.1892.3.1.1,6,10.01,-18.89,Balaenoptera_musculus
ZD.1892.3.1.1,7,10.09,-18.91,Balaenoptera_musculus
ZD.1892.3.1.1,8,10.21,-18.92,Balaenoptera_musculus
ZD.1892.3.1.1,9,9.81,-18.98,Balaenoptera_musculus
ZD.1892.3.1.1,10,9.13,-18.76,Balaenoptera_musculus
ZD.1892.3.1.1,11,9.32,-18.69,Balaenoptera_musculus
ZD.1892.3.1.1,12,9.75,-18.73,Balaenoptera_musculus
ZD.1892.3.1.1,13,9.54,-19.3,Balaenoptera_musculus
ZD.1892.3.1.1,14,9.16,-19.45,Balaenoptera_musculus
ZD.1892.3.1.1,15,9.54,-18.71,Balaenoptera_musculus
ZD.1892.3.1.1,16,9.45,-18.43,Balaenoptera_musculus
ZD.1892.3.1.1,17,9.87,-18.66,Balaenoptera_musculus
ZD.1892.3.1.1,18,10.13,-18.83,Balaenoptera_musculus
ZD.1892.3.1.1,19,10.38,-18.84,Balaenoptera_musculus
ZD.1892.3.1.1,20,10.68,-19.11,Balaenoptera_musculus
ZD.1892.3.1.1,21,10.53,-19.01,Balaenoptera_musculus
ZD.1892.3.1.1,22,10.5,-18.98,Balaenoptera_musculus
ZD.1892.3.1.1,23,10.25,-18.87,Balaenoptera_musculus
ZD.1892.3.1.1,24,10.17,-18.85,Balaenoptera_musculus
ZD.1892.3.1.1,25,10.05,-18.91,Balaenoptera_musculus
ZD.1892.3.1.1,26,9.37,-19.78,Balaenoptera_musculus
ZD.1892.3.1.1,27,9.15,-19.08,Balaenoptera_musculus
ZD.1892.3.1.1,28,9.05,-18.42,Balaenoptera_musculus
ZD.1892.3.1.1,29,9.79,-18.31,Balaenoptera_musculus
ZD.1892.3.1.1,30,10.24,-18.52,Balaenoptera_musculus
ZD.1892.3.1.1,31,10.37,-18.53,Balaenoptera_musculus
ZD.1892.3.1.1,32,10.45,-18.64,Balaenoptera_musculus
ZD.1892.3.1.1,33,10.38,-18.95,Balaenoptera_musculus
ZD.1892.3.1.1,34,10.24,-19.19,Balaenoptera_musculus
ZD.1892.3.1.1,35,10.23,-19.16,Balaenoptera_musculus
ZD.1892.3.1.1,36,10.36,-19.15,Balaenoptera_musculus
ZD.1892.3.1.1,37,10.25,-19.33,Balaenoptera_musculus
ZD.1892.3.1.1,38,10.38,-19.49,Balaenoptera_musculus
ZD.1892.3.1.1,39,9.8,-19.9,Balaenoptera_musculus
ZD.1892.3.1.1,40,9.22,-19.71,Balaenoptera_musculus
ZD.1892.3.1.1,41,9.57,-19.21,Balaenoptera_musculus
ZD.1892.3.1.1,42,9.67,-18.15,Balaenoptera_musculus
ZD.1892.3.1.1,43,9.99,-18.46,Balaenoptera_musculus
ZD.1892.3.1.1,44,9.71,-18.43,Balaenoptera_musculus
ZD.1892.3.1.1,45,9.96,-18.6,Balaenoptera_musculus
ZD.1892.3.1.1,46,10.14,-18.43,Balaenoptera_musculus
ZD.1892.3.1.1,47,10.02,-18.33,Balaenoptera_musculus
ZD.1892.3.1.1,48,9.98,-18.32,Balaenoptera_musculus
ZD.1892.3.1.1,49,9.95,-18.63,Balaenoptera_musculus
ZD.1892.3.1.1,50,10.07,-18.6,Balaenoptera_musculus
ZD.1892.3.1.1,51,9.62,-19.01,Balaenoptera_musculus
ZD.1892.3.1.1,52,9.33,-19.04,Balaenoptera_musculus
ZD.1892.3.1.1,53,9.41,-18.5,Balaenoptera_musculus
ZD.1892.3.1.1,54,9.49,-17.8,Balaenoptera_musculus
ZD.1892.3.1.1,55,9.13,-16.84,Balaenoptera_musculus
ZD.1892.3.1.1,56,8.81,-16.96,Balaenoptera_musculus
ZD.1892.3.1.1,57,8.74,-17.55,Balaenoptera_musculus
ZD.1892.3.1.1,58,10.07,-17.83,Balaenoptera_musculus
ZD.1892.3.1.1,59,10.24,-18,Balaenoptera_musculus
ZD.1892.3.1.1,60,9.87,-17.82,Balaenoptera_musculus
ZD.1892.3.1.1,61,9.5,-17.55,Balaenoptera_musculus
ZD.1892.3.1.1,62,9.68,-17.79,Balaenoptera_musculus
ZD.1892.3.1.1,63,9.68,-17.73,Balaenoptera_musculus
ZD.1892.3.1.1,64,9.4,-17.57,Balaenoptera_musculus
ZD.1892.3.1.1,65,8.98,-17.54,Balaenoptera_musculus
ZD.1892.3.1.1,66,8.7,-17.65,Balaenoptera_musculus
ZD.1892.3.1.1,67,8.77,-17.57,Balaenoptera_musculus
ZD.1892.3.1.1,68,8.63,-17.5,Balaenoptera_musculus
ZD.1892.3.1.1,69,8.52,-17.65,Balaenoptera_musculus
ZD.1892.3.1.1,70,8.89,-17.7,Balaenoptera_musculus
ZD.1892.3.1.1,71,8.8,-17.81,Balaenoptera_musculus
ZD.1892.3.1.1,73,8.97,-17.65,Balaenoptera_musculus
ZD.1892.3.1.1,74,8.92,-17.7,Balaenoptera_musculus
ZD.1892.3.1.1,75,9.19,-17.77,Balaenoptera_musculus
ZD.1892.3.1.1,76,8.92,-17.89,Balaenoptera_musculus
ZD.1892.3.1.1,77,9.28,-17.84,Balaenoptera_musculus
ZD.1892.3.1.1,78,10.45,-18.85,Balaenoptera_musculus
