NHMUK_ID,whale_ID,sample_cm,d15N, d13C,species
ZD.1892.3.1.1,KC7,1,10.4,-17.98,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,2,9.78,-17.78,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,3,9.66,-17.64,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,4,10.24,-17.35,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,5,10.27,-17.63,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,6,10.09,-17.78,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,7,9.75,-17.94,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,8,9.24,-18.23,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,9,10.14,-18.8,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,10,10.09,-18.93,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,11,9.9,-18.87,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,12,10.01,-18.89,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,13,10.09,-18.91,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,14,10.21,-18.92,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,15,9.81,-18.98,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,16,9.13,-18.76,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,17,9.32,-18.69,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,18,9.75,-18.73,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,19,9.54,-19.3,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,20,9.16,-19.45,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,21,9.54,-18.71,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,22,9.45,-18.43,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,23,9.87,-18.66,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,24,10.13,-18.83,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,25,10.38,-18.84,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,26,10.68,-19.11,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,27,10.53,-19.01,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,28,10.5,-18.98,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,29,10.25,-18.87,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,30,10.17,-18.85,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,31,10.05,-18.91,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,32,9.37,-19.78,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,33,9.15,-19.08,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,34,9.05,-18.42,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,35,9.79,-18.31,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,36,10.24,-18.52,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,37,10.37,-18.53,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,38,10.45,-18.64,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,39,10.38,-18.95,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,40,10.24,-19.19,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,41,10.23,-19.16,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,42,10.36,-19.15,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,43,10.25,-19.33,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,44,10.38,-19.49,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,45,9.8,-19.9,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,46,9.22,-19.71,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,47,9.57,-19.21,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,48,9.67,-18.15,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,49,9.99,-18.46,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,50,9.71,-18.43,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,51,9.96,-18.6,Balaenoptera_musculus
ZD.1892.3.1.1,KC7,52,10.14,-18.43,Balaenoptera_musculus
